"","plot","grid_number","date","abundance","plot_grid","treatment","complexity","plot_date","days_since_outplanting","days_comp","c.abun.mean","rabun"
"30","HN",2,"25-Jun-19",5,"HN - 2","70%","High","HN - 25-Jun-19",13,"13 - High",2.875,2.125
"31","HN",2,"28-Jul-19",19,"HN - 2","70%","High","HN - 28-Jul-19",48,"48 - High",2.625,16.375
"32","HN",2,"28-Jun-19",0,"HN - 2","70%","High","HN - 28-Jun-19",18,"18 - High",5.125,-5.125
"33","HN",3,"02-Jul-19",0,"HN - 3","50%","High","HN - 02-Jul-19",23,"23 - High",2.125,-2.125
"34","HN",3,"05-Jul-19",0,"HN - 3","50%","High","HN - 05-Jul-19",26,"26 - High",1.5,-1.5
"35","HN",3,"05-Jun-19",0,"HN - 3","50%","High","HN - 05-Jun-19",1,"1 - High",0.25,-0.25
"36","HN",3,"06-Jun-19",0,"HN - 3","50%","High","HN - 06-Jun-19",2,"2 - High",3.75,-3.75
"37","HN",3,"07-Jun-19",0,"HN - 3","50%","High","HN - 07-Jun-19",3,"3 - High",1.875,-1.875
"38","HN",3,"09-Jul-19",0,"HN - 3","50%","High","HN - 09-Jul-19",30,"30 - High",0.75,-0.75
"39","HN",3,"11-Jun-19",0,"HN - 3","50%","High","HN - 11-Jun-19",5,"5 - High",2.375,-2.375
"40","HN",3,"13-Jun-19",0,"HN - 3","50%","High","HN - 13-Jun-19",7,"7 - High",1.75,-1.75
"41","HN",3,"15-Jul-19",0,"HN - 3","50%","High","HN - 15-Jul-19",33,"33 - High",2.375,-2.375
"42","HN",3,"15-Jun-19",0,"HN - 3","50%","High","HN - 15-Jun-19",9,"9 - High",2.75,-2.75
"43","HN",3,"20-Jul-19",0,"HN - 3","50%","High","HN - 20-Jul-19",37,"37 - High",4.75,-4.75
"44","HN",3,"20-Jun-19",0,"HN - 3","50%","High","HN - 20-Jun-19",11,"11 - High",5.125,-5.125
"45","HN",3,"25-Jul-19",0,"HN - 3","50%","High","HN - 25-Jul-19",43,"43 - High",1.625,-1.625
"46","HN",3,"25-Jun-19",0,"HN - 3","50%","High","HN - 25-Jun-19",13,"13 - High",2.875,-2.875
"47","HN",3,"28-Jul-19",0,"HN - 3","50%","High","HN - 28-Jul-19",48,"48 - High",2.625,-2.625
"48","HN",3,"28-Jun-19",8,"HN - 3","50%","High","HN - 28-Jun-19",18,"18 - High",5.125,2.875
"49","HN",5,"02-Jul-19",1,"HN - 5","70%","High","HN - 02-Jul-19",23,"23 - High",2.125,-1.125
"50","HN",5,"05-Jul-19",0,"HN - 5","70%","High","HN - 05-Jul-19",26,"26 - High",1.5,-1.5
"51","HN",5,"05-Jun-19",0,"HN - 5","70%","High","HN - 05-Jun-19",1,"1 - High",0.25,-0.25
"52","HN",5,"06-Jun-19",0,"HN - 5","70%","High","HN - 06-Jun-19",2,"2 - High",3.75,-3.75
"53","HN",5,"07-Jun-19",3,"HN - 5","70%","High","HN - 07-Jun-19",3,"3 - High",1.875,1.125
"54","HN",5,"09-Jul-19",1,"HN - 5","70%","High","HN - 09-Jul-19",30,"30 - High",0.75,0.25
"55","HN",5,"11-Jun-19",1,"HN - 5","70%","High","HN - 11-Jun-19",5,"5 - High",2.375,-1.375
"56","HN",5,"13-Jun-19",0,"HN - 5","70%","High","HN - 13-Jun-19",7,"7 - High",1.75,-1.75
"57","HN",5,"15-Jul-19",5,"HN - 5","70%","High","HN - 15-Jul-19",33,"33 - High",2.375,2.625
"58","HN",5,"15-Jun-19",2,"HN - 5","70%","High","HN - 15-Jun-19",9,"9 - High",2.75,-0.75
"59","HN",5,"20-Jul-19",0,"HN - 5","70%","High","HN - 20-Jul-19",37,"37 - High",4.75,-4.75
"60","HN",5,"20-Jun-19",6,"HN - 5","70%","High","HN - 20-Jun-19",11,"11 - High",5.125,0.875
"61","HN",5,"25-Jul-19",6,"HN - 5","70%","High","HN - 25-Jul-19",43,"43 - High",1.625,4.375
"62","HN",5,"25-Jun-19",2,"HN - 5","70%","High","HN - 25-Jun-19",13,"13 - High",2.875,-0.875
"63","HN",5,"28-Jul-19",1,"HN - 5","70%","High","HN - 28-Jul-19",48,"48 - High",2.625,-1.625
"64","HN",5,"28-Jun-19",6,"HN - 5","70%","High","HN - 28-Jun-19",18,"18 - High",5.125,0.875
"65","HN",6,"02-Jul-19",3,"HN - 6","30%","High","HN - 02-Jul-19",23,"23 - High",2.125,0.875
"66","HN",6,"05-Jul-19",0,"HN - 6","30%","High","HN - 05-Jul-19",26,"26 - High",1.5,-1.5
"67","HN",6,"05-Jun-19",0,"HN - 6","30%","High","HN - 05-Jun-19",1,"1 - High",0.25,-0.25
"68","HN",6,"06-Jun-19",2,"HN - 6","30%","High","HN - 06-Jun-19",2,"2 - High",3.75,-1.75
"69","HN",6,"07-Jun-19",0,"HN - 6","30%","High","HN - 07-Jun-19",3,"3 - High",1.875,-1.875
"70","HN",6,"09-Jul-19",0,"HN - 6","30%","High","HN - 09-Jul-19",30,"30 - High",0.75,-0.75
"71","HN",6,"11-Jun-19",0,"HN - 6","30%","High","HN - 11-Jun-19",5,"5 - High",2.375,-2.375
"72","HN",6,"13-Jun-19",4,"HN - 6","30%","High","HN - 13-Jun-19",7,"7 - High",1.75,2.25
"73","HN",6,"15-Jul-19",6,"HN - 6","30%","High","HN - 15-Jul-19",33,"33 - High",2.375,3.625
"74","HN",6,"15-Jun-19",3,"HN - 6","30%","High","HN - 15-Jun-19",9,"9 - High",2.75,0.25
"75","HN",6,"20-Jul-19",2,"HN - 6","30%","High","HN - 20-Jul-19",37,"37 - High",4.75,-2.75
"76","HN",6,"20-Jun-19",3,"HN - 6","30%","High","HN - 20-Jun-19",11,"11 - High",5.125,-2.125
"77","HN",6,"25-Jul-19",4,"HN - 6","30%","High","HN - 25-Jul-19",43,"43 - High",1.625,2.375
"78","HN",6,"25-Jun-19",1,"HN - 6","30%","High","HN - 25-Jun-19",13,"13 - High",2.875,-1.875
"79","HN",6,"28-Jul-19",0,"HN - 6","30%","High","HN - 28-Jul-19",48,"48 - High",2.625,-2.625
"80","HN",6,"28-Jun-19",1,"HN - 6","30%","High","HN - 28-Jun-19",18,"18 - High",5.125,-4.125
"81","HN",7,"02-Jul-19",1,"HN - 7","100%","High","HN - 02-Jul-19",23,"23 - High",2.125,-1.125
"82","HN",7,"05-Jul-19",0,"HN - 7","100%","High","HN - 05-Jul-19",26,"26 - High",1.5,-1.5
"83","HN",7,"05-Jun-19",0,"HN - 7","100%","High","HN - 05-Jun-19",1,"1 - High",0.25,-0.25
"84","HN",7,"06-Jun-19",3,"HN - 7","100%","High","HN - 06-Jun-19",2,"2 - High",3.75,-0.75
"85","HN",7,"07-Jun-19",4,"HN - 7","100%","High","HN - 07-Jun-19",3,"3 - High",1.875,2.125
"86","HN",7,"09-Jul-19",1,"HN - 7","100%","High","HN - 09-Jul-19",30,"30 - High",0.75,0.25
"87","HN",7,"11-Jun-19",0,"HN - 7","100%","High","HN - 11-Jun-19",5,"5 - High",2.375,-2.375
"88","HN",7,"13-Jun-19",0,"HN - 7","100%","High","HN - 13-Jun-19",7,"7 - High",1.75,-1.75
"89","HN",7,"15-Jul-19",0,"HN - 7","100%","High","HN - 15-Jul-19",33,"33 - High",2.375,-2.375
"90","HN",7,"15-Jun-19",0,"HN - 7","100%","High","HN - 15-Jun-19",9,"9 - High",2.75,-2.75
"91","HN",7,"20-Jul-19",14,"HN - 7","100%","High","HN - 20-Jul-19",37,"37 - High",4.75,9.25
"92","HN",7,"20-Jun-19",3,"HN - 7","100%","High","HN - 20-Jun-19",11,"11 - High",5.125,-2.125
"93","HN",7,"25-Jul-19",0,"HN - 7","100%","High","HN - 25-Jul-19",43,"43 - High",1.625,-1.625
"94","HN",7,"25-Jun-19",0,"HN - 7","100%","High","HN - 25-Jun-19",13,"13 - High",2.875,-2.875
"95","HN",7,"28-Jul-19",1,"HN - 7","100%","High","HN - 28-Jul-19",48,"48 - High",2.625,-1.625
"96","HN",7,"28-Jun-19",0,"HN - 7","100%","High","HN - 28-Jun-19",18,"18 - High",5.125,-5.125
"97","HN",8,"02-Jul-19",1,"HN - 8","50%","High","HN - 02-Jul-19",23,"23 - High",2.125,-1.125
"98","HN",8,"05-Jul-19",0,"HN - 8","50%","High","HN - 05-Jul-19",26,"26 - High",1.5,-1.5
"99","HN",8,"05-Jun-19",0,"HN - 8","50%","High","HN - 05-Jun-19",1,"1 - High",0.25,-0.25
"100","HN",8,"06-Jun-19",0,"HN - 8","50%","High","HN - 06-Jun-19",2,"2 - High",3.75,-3.75
"101","HN",8,"07-Jun-19",6,"HN - 8","50%","High","HN - 07-Jun-19",3,"3 - High",1.875,4.125
"102","HN",8,"09-Jul-19",0,"HN - 8","50%","High","HN - 09-Jul-19",30,"30 - High",0.75,-0.75
"103","HN",8,"11-Jun-19",0,"HN - 8","50%","High","HN - 11-Jun-19",5,"5 - High",2.375,-2.375
"104","HN",8,"13-Jun-19",9,"HN - 8","50%","High","HN - 13-Jun-19",7,"7 - High",1.75,7.25
"105","HN",8,"15-Jul-19",0,"HN - 8","50%","High","HN - 15-Jul-19",33,"33 - High",2.375,-2.375
"106","HN",8,"15-Jun-19",4,"HN - 8","50%","High","HN - 15-Jun-19",9,"9 - High",2.75,1.25
"107","HN",8,"20-Jul-19",7,"HN - 8","50%","High","HN - 20-Jul-19",37,"37 - High",4.75,2.25
"108","HN",8,"20-Jun-19",7,"HN - 8","50%","High","HN - 20-Jun-19",11,"11 - High",5.125,1.875
"109","HN",8,"25-Jul-19",0,"HN - 8","50%","High","HN - 25-Jul-19",43,"43 - High",1.625,-1.625
"110","HN",8,"25-Jun-19",0,"HN - 8","50%","High","HN - 25-Jun-19",13,"13 - High",2.875,-2.875
"111","HN",8,"28-Jul-19",1,"HN - 8","50%","High","HN - 28-Jul-19",48,"48 - High",2.625,-1.625
"112","HN",8,"28-Jun-19",5,"HN - 8","50%","High","HN - 28-Jun-19",18,"18 - High",5.125,-0.125
"113","HN",11,"02-Jul-19",1,"HN - 11","30%","High","HN - 02-Jul-19",23,"23 - High",2.125,-1.125
"114","HN",11,"05-Jul-19",0,"HN - 11","30%","High","HN - 05-Jul-19",26,"26 - High",1.5,-1.5
"115","HN",11,"05-Jun-19",0,"HN - 11","30%","High","HN - 05-Jun-19",1,"1 - High",0.25,-0.25
"116","HN",11,"06-Jun-19",0,"HN - 11","30%","High","HN - 06-Jun-19",2,"2 - High",3.75,-3.75
"117","HN",11,"07-Jun-19",1,"HN - 11","30%","High","HN - 07-Jun-19",3,"3 - High",1.875,-0.875
"118","HN",11,"09-Jul-19",0,"HN - 11","30%","High","HN - 09-Jul-19",30,"30 - High",0.75,-0.75
"119","HN",11,"11-Jun-19",3,"HN - 11","30%","High","HN - 11-Jun-19",5,"5 - High",2.375,0.625
"120","HN",11,"13-Jun-19",7,"HN - 11","30%","High","HN - 13-Jun-19",7,"7 - High",1.75,5.25
"121","HN",11,"15-Jul-19",0,"HN - 11","30%","High","HN - 15-Jul-19",33,"33 - High",2.375,-2.375
"122","HN",11,"15-Jun-19",0,"HN - 11","30%","High","HN - 15-Jun-19",9,"9 - High",2.75,-2.75
"123","HN",11,"20-Jul-19",0,"HN - 11","30%","High","HN - 20-Jul-19",37,"37 - High",4.75,-4.75
"124","HN",11,"20-Jun-19",0,"HN - 11","30%","High","HN - 20-Jun-19",11,"11 - High",5.125,-5.125
"125","HN",11,"25-Jul-19",0,"HN - 11","30%","High","HN - 25-Jul-19",43,"43 - High",1.625,-1.625
"126","HN",11,"25-Jun-19",0,"HN - 11","30%","High","HN - 25-Jun-19",13,"13 - High",2.875,-2.875
"127","HN",11,"28-Jul-19",3,"HN - 11","30%","High","HN - 28-Jul-19",48,"48 - High",2.625,0.375
"128","HN",11,"28-Jun-19",0,"HN - 11","30%","High","HN - 28-Jun-19",18,"18 - High",5.125,-5.125
"129","HN",12,"02-Jul-19",0,"HN - 12","70%","High","HN - 02-Jul-19",23,"23 - High",2.125,-2.125
"130","HN",12,"05-Jul-19",5,"HN - 12","70%","High","HN - 05-Jul-19",26,"26 - High",1.5,3.5
"131","HN",12,"05-Jun-19",0,"HN - 12","70%","High","HN - 05-Jun-19",1,"1 - High",0.25,-0.25
"132","HN",12,"06-Jun-19",0,"HN - 12","70%","High","HN - 06-Jun-19",2,"2 - High",3.75,-3.75
"133","HN",12,"07-Jun-19",0,"HN - 12","70%","High","HN - 07-Jun-19",3,"3 - High",1.875,-1.875
"134","HN",12,"09-Jul-19",0,"HN - 12","70%","High","HN - 09-Jul-19",30,"30 - High",0.75,-0.75
"135","HN",12,"11-Jun-19",0,"HN - 12","70%","High","HN - 11-Jun-19",5,"5 - High",2.375,-2.375
"136","HN",12,"13-Jun-19",0,"HN - 12","70%","High","HN - 13-Jun-19",7,"7 - High",1.75,-1.75
"137","HN",12,"15-Jul-19",0,"HN - 12","70%","High","HN - 15-Jul-19",33,"33 - High",2.375,-2.375
"138","HN",12,"15-Jun-19",0,"HN - 12","70%","High","HN - 15-Jun-19",9,"9 - High",2.75,-2.75
"139","HN",12,"20-Jul-19",7,"HN - 12","70%","High","HN - 20-Jul-19",37,"37 - High",4.75,2.25
"140","HN",12,"20-Jun-19",0,"HN - 12","70%","High","HN - 20-Jun-19",11,"11 - High",5.125,-5.125
"141","HN",12,"25-Jul-19",0,"HN - 12","70%","High","HN - 25-Jul-19",43,"43 - High",1.625,-1.625
"142","HN",12,"25-Jun-19",0,"HN - 12","70%","High","HN - 25-Jun-19",13,"13 - High",2.875,-2.875
"143","HN",12,"28-Jul-19",4,"HN - 12","70%","High","HN - 28-Jul-19",48,"48 - High",2.625,1.375
"144","HN",12,"28-Jun-19",9,"HN - 12","70%","High","HN - 28-Jun-19",18,"18 - High",5.125,3.875
"145","HN",13,"02-Jul-19",4,"HN - 13","100%","High","HN - 02-Jul-19",23,"23 - High",2.125,1.875
"146","HN",13,"05-Jul-19",1,"HN - 13","100%","High","HN - 05-Jul-19",26,"26 - High",1.5,-0.5
"147","HN",13,"05-Jun-19",0,"HN - 13","100%","High","HN - 05-Jun-19",1,"1 - High",0.25,-0.25
"148","HN",13,"06-Jun-19",4,"HN - 13","100%","High","HN - 06-Jun-19",2,"2 - High",3.75,0.25
"149","HN",13,"07-Jun-19",4,"HN - 13","100%","High","HN - 07-Jun-19",3,"3 - High",1.875,2.125
"150","HN",13,"09-Jul-19",2,"HN - 13","100%","High","HN - 09-Jul-19",30,"30 - High",0.75,1.25
"151","HN",13,"11-Jun-19",1,"HN - 13","100%","High","HN - 11-Jun-19",5,"5 - High",2.375,-1.375
"152","HN",13,"13-Jun-19",5,"HN - 13","100%","High","HN - 13-Jun-19",7,"7 - High",1.75,3.25
"153","HN",13,"15-Jul-19",4,"HN - 13","100%","High","HN - 15-Jul-19",33,"33 - High",2.375,1.625
"154","HN",13,"15-Jun-19",0,"HN - 13","100%","High","HN - 15-Jun-19",9,"9 - High",2.75,-2.75
"155","HN",13,"20-Jul-19",10,"HN - 13","100%","High","HN - 20-Jul-19",37,"37 - High",4.75,5.25
"156","HN",13,"20-Jun-19",4,"HN - 13","100%","High","HN - 20-Jun-19",11,"11 - High",5.125,-1.125
"157","HN",13,"25-Jul-19",14,"HN - 13","100%","High","HN - 25-Jul-19",43,"43 - High",1.625,12.375
"158","HN",13,"25-Jun-19",19,"HN - 13","100%","High","HN - 25-Jun-19",13,"13 - High",2.875,16.125
"159","HN",13,"28-Jul-19",6,"HN - 13","100%","High","HN - 28-Jul-19",48,"48 - High",2.625,3.375
"160","HN",13,"28-Jun-19",1,"HN - 13","100%","High","HN - 28-Jun-19",18,"18 - High",5.125,-4.125
"161","HN",14,"02-Jul-19",1,"HN - 14","0%","High","HN - 02-Jul-19",23,"23 - High",2.125,-1.125
"162","HN",14,"05-Jul-19",2,"HN - 14","0%","High","HN - 05-Jul-19",26,"26 - High",1.5,0.5
"163","HN",14,"05-Jun-19",0,"HN - 14","0%","High","HN - 05-Jun-19",1,"1 - High",0.25,-0.25
"164","HN",14,"06-Jun-19",1,"HN - 14","0%","High","HN - 06-Jun-19",2,"2 - High",3.75,-2.75
"165","HN",14,"07-Jun-19",1,"HN - 14","0%","High","HN - 07-Jun-19",3,"3 - High",1.875,-0.875
"166","HN",14,"09-Jul-19",0,"HN - 14","0%","High","HN - 09-Jul-19",30,"30 - High",0.75,-0.75
"167","HN",14,"11-Jun-19",10,"HN - 14","0%","High","HN - 11-Jun-19",5,"5 - High",2.375,7.625
"168","HN",14,"13-Jun-19",1,"HN - 14","0%","High","HN - 13-Jun-19",7,"7 - High",1.75,-0.75
"169","HN",14,"15-Jul-19",3,"HN - 14","0%","High","HN - 15-Jul-19",33,"33 - High",2.375,0.625
"170","HN",14,"15-Jun-19",7,"HN - 14","0%","High","HN - 15-Jun-19",9,"9 - High",2.75,4.25
"171","HN",14,"20-Jul-19",0,"HN - 14","0%","High","HN - 20-Jul-19",37,"37 - High",4.75,-4.75
"172","HN",14,"20-Jun-19",8,"HN - 14","0%","High","HN - 20-Jun-19",11,"11 - High",5.125,2.875
"173","HN",14,"25-Jul-19",5,"HN - 14","0%","High","HN - 25-Jul-19",43,"43 - High",1.625,3.375
"174","HN",14,"25-Jun-19",5,"HN - 14","0%","High","HN - 25-Jun-19",13,"13 - High",2.875,2.125
"175","HN",14,"28-Jul-19",0,"HN - 14","0%","High","HN - 28-Jul-19",48,"48 - High",2.625,-2.625
"176","HN",14,"28-Jun-19",0,"HN - 14","0%","High","HN - 28-Jun-19",18,"18 - High",5.125,-5.125
"177","HN",15,"02-Jul-19",0,"HN - 15","50%","High","HN - 02-Jul-19",23,"23 - High",2.125,-2.125
"178","HN",15,"05-Jul-19",0,"HN - 15","50%","High","HN - 05-Jul-19",26,"26 - High",1.5,-1.5
"179","HN",15,"05-Jun-19",2,"HN - 15","50%","High","HN - 05-Jun-19",1,"1 - High",0.25,1.75
"180","HN",15,"06-Jun-19",0,"HN - 15","50%","High","HN - 06-Jun-19",2,"2 - High",3.75,-3.75
"181","HN",15,"07-Jun-19",0,"HN - 15","50%","High","HN - 07-Jun-19",3,"3 - High",1.875,-1.875
"182","HN",15,"09-Jul-19",2,"HN - 15","50%","High","HN - 09-Jul-19",30,"30 - High",0.75,1.25
"183","HN",15,"11-Jun-19",14,"HN - 15","50%","High","HN - 11-Jun-19",5,"5 - High",2.375,11.625
"184","HN",15,"13-Jun-19",0,"HN - 15","50%","High","HN - 13-Jun-19",7,"7 - High",1.75,-1.75
"185","HN",15,"15-Jul-19",0,"HN - 15","50%","High","HN - 15-Jul-19",33,"33 - High",2.375,-2.375
"186","HN",15,"15-Jun-19",1,"HN - 15","50%","High","HN - 15-Jun-19",9,"9 - High",2.75,-1.75
"187","HN",15,"20-Jul-19",0,"HN - 15","50%","High","HN - 20-Jul-19",37,"37 - High",4.75,-4.75
"188","HN",15,"20-Jun-19",0,"HN - 15","50%","High","HN - 20-Jun-19",11,"11 - High",5.125,-5.125
"189","HN",15,"25-Jul-19",4,"HN - 15","50%","High","HN - 25-Jul-19",43,"43 - High",1.625,2.375
"190","HN",15,"25-Jun-19",0,"HN - 15","50%","High","HN - 25-Jun-19",13,"13 - High",2.875,-2.875
"191","HN",15,"28-Jul-19",0,"HN - 15","50%","High","HN - 28-Jul-19",48,"48 - High",2.625,-2.625
"192","HN",15,"28-Jun-19",1,"HN - 15","50%","High","HN - 28-Jun-19",18,"18 - High",5.125,-4.125
"193","HN",16,"02-Jul-19",1,"HN - 16","100%","High","HN - 02-Jul-19",23,"23 - High",2.125,-1.125
"194","HN",16,"05-Jul-19",1,"HN - 16","100%","High","HN - 05-Jul-19",26,"26 - High",1.5,-0.5
"195","HN",16,"05-Jun-19",1,"HN - 16","100%","High","HN - 05-Jun-19",1,"1 - High",0.25,0.75
"196","HN",16,"06-Jun-19",1,"HN - 16","100%","High","HN - 06-Jun-19",2,"2 - High",3.75,-2.75
"197","HN",16,"07-Jun-19",1,"HN - 16","100%","High","HN - 07-Jun-19",3,"3 - High",1.875,-0.875
"198","HN",16,"09-Jul-19",1,"HN - 16","100%","High","HN - 09-Jul-19",30,"30 - High",0.75,0.25
"199","HN",16,"11-Jun-19",9,"HN - 16","100%","High","HN - 11-Jun-19",5,"5 - High",2.375,6.625
"200","HN",16,"13-Jun-19",0,"HN - 16","100%","High","HN - 13-Jun-19",7,"7 - High",1.75,-1.75
"201","HN",16,"15-Jul-19",4,"HN - 16","100%","High","HN - 15-Jul-19",33,"33 - High",2.375,1.625
"202","HN",16,"15-Jun-19",11,"HN - 16","100%","High","HN - 15-Jun-19",9,"9 - High",2.75,8.25
"203","HN",16,"20-Jul-19",3,"HN - 16","100%","High","HN - 20-Jul-19",37,"37 - High",4.75,-1.75
"204","HN",16,"20-Jun-19",3,"HN - 16","100%","High","HN - 20-Jun-19",11,"11 - High",5.125,-2.125
"205","HN",16,"25-Jul-19",3,"HN - 16","100%","High","HN - 25-Jul-19",43,"43 - High",1.625,1.375
"206","HN",16,"25-Jun-19",1,"HN - 16","100%","High","HN - 25-Jun-19",13,"13 - High",2.875,-1.875
"207","HN",16,"28-Jul-19",0,"HN - 16","100%","High","HN - 28-Jul-19",48,"48 - High",2.625,-2.625
"208","HN",16,"28-Jun-19",2,"HN - 16","100%","High","HN - 28-Jun-19",18,"18 - High",5.125,-3.125
"209","HN",18,"02-Jul-19",1,"HN - 18","0%","High","HN - 02-Jul-19",23,"23 - High",2.125,-1.125
"210","HN",18,"05-Jul-19",15,"HN - 18","0%","High","HN - 05-Jul-19",26,"26 - High",1.5,13.5
"211","HN",18,"05-Jun-19",0,"HN - 18","0%","High","HN - 05-Jun-19",1,"1 - High",0.25,-0.25
"212","HN",18,"06-Jun-19",1,"HN - 18","0%","High","HN - 06-Jun-19",2,"2 - High",3.75,-2.75
"213","HN",18,"07-Jun-19",3,"HN - 18","0%","High","HN - 07-Jun-19",3,"3 - High",1.875,1.125
"214","HN",18,"09-Jul-19",2,"HN - 18","0%","High","HN - 09-Jul-19",30,"30 - High",0.75,1.25
"215","HN",18,"11-Jun-19",11,"HN - 18","0%","High","HN - 11-Jun-19",5,"5 - High",2.375,8.625
"216","HN",18,"13-Jun-19",2,"HN - 18","0%","High","HN - 13-Jun-19",7,"7 - High",1.75,0.25
"217","HN",18,"15-Jul-19",2,"HN - 18","0%","High","HN - 15-Jul-19",33,"33 - High",2.375,-0.375
"218","HN",18,"15-Jun-19",4,"HN - 18","0%","High","HN - 15-Jun-19",9,"9 - High",2.75,1.25
"219","HN",18,"20-Jul-19",4,"HN - 18","0%","High","HN - 20-Jul-19",37,"37 - High",4.75,-0.75
"220","HN",18,"20-Jun-19",2,"HN - 18","0%","High","HN - 20-Jun-19",11,"11 - High",5.125,-3.125
"221","HN",18,"25-Jul-19",4,"HN - 18","0%","High","HN - 25-Jul-19",43,"43 - High",1.625,2.375
"222","HN",18,"25-Jun-19",4,"HN - 18","0%","High","HN - 25-Jun-19",13,"13 - High",2.875,1.125
"223","HN",18,"28-Jul-19",0,"HN - 18","0%","High","HN - 28-Jul-19",48,"48 - High",2.625,-2.625
"224","HN",18,"28-Jun-19",12,"HN - 18","0%","High","HN - 28-Jun-19",18,"18 - High",5.125,6.875
"225","HN",19,"02-Jul-19",3,"HN - 19","30%","High","HN - 02-Jul-19",23,"23 - High",2.125,0.875
"226","HN",19,"05-Jul-19",1,"HN - 19","30%","High","HN - 05-Jul-19",26,"26 - High",1.5,-0.5
"227","HN",19,"05-Jun-19",0,"HN - 19","30%","High","HN - 05-Jun-19",1,"1 - High",0.25,-0.25
"228","HN",19,"06-Jun-19",1,"HN - 19","30%","High","HN - 06-Jun-19",2,"2 - High",3.75,-2.75
"229","HN",19,"07-Jun-19",1,"HN - 19","30%","High","HN - 07-Jun-19",3,"3 - High",1.875,-0.875
"230","HN",19,"09-Jul-19",4,"HN - 19","30%","High","HN - 09-Jul-19",30,"30 - High",0.75,3.25
"231","HN",19,"11-Jun-19",0,"HN - 19","30%","High","HN - 11-Jun-19",5,"5 - High",2.375,-2.375
"232","HN",19,"13-Jun-19",5,"HN - 19","30%","High","HN - 13-Jun-19",7,"7 - High",1.75,3.25
