survey_number,grid_number,species_ID,life_phase,TL(cm),yes
5,10,Bluehead Wrasse,J,4,NA
5,10,Bluehead Wrasse,J,4,NA
5,10,Bluehead Wrasse,J,5,NA
5,10,Bluehead Wrasse,J,5,NA
5,10,Bluehead Wrasse,J,5,NA
5,10,Bluehead Wrasse,J,5,NA
5,10,Bluehead Wrasse,J,5,NA
5,10,Bluehead Wrasse,J,6,NA
5,10,Bluehead Wrasse,J,6,NA
5,10,Bluehead Wrasse,J,6,NA
5,10,Bluehead Wrasse,J,6,NA
5,10,Bluehead Wrasse,J,6,NA
5,10,Colon Goby,A,4,NA
5,10,Striped Parrotfish,I,6,NA
5,10,Striped Parrotfish,I,6,NA
5,10,Striped Parrotfish,I,7,NA
5,10,Striped Parrotfish,I,7,NA
5,10,Striped Parrotfish,I,7,NA
5,10,Striped Parrotfish,I,8,NA
5,10,Striped Parrotfish,I,8,NA
5,11,Blenny Family,A,2,NA
5,11,Bluehead Wrasse,J,4,NA
5,11,Bluehead Wrasse,J,4,NA
5,11,Bluehead Wrasse,J,4,NA
5,11,Bluehead Wrasse,J,4,NA
5,11,Bluehead Wrasse,J,4,NA
5,11,Bluehead Wrasse,J,4,NA
5,11,Bluehead Wrasse,J,4,NA
5,11,Bluehead Wrasse,J,4,NA
5,11,Bluehead Wrasse,J,4,NA
5,11,Bluehead Wrasse,J,4,NA
5,11,Bluehead Wrasse,J,4,NA
5,11,Bluehead Wrasse,J,4,NA
5,11,Bluehead Wrasse,J,4,NA
5,11,Bluehead Wrasse,J,5,NA
5,11,Bluehead Wrasse,J,5,NA
5,11,Bluehead Wrasse,J,5,NA
5,11,Bluehead Wrasse,J,5,NA
5,11,Bluehead Wrasse,J,5,NA
5,11,Bluehead Wrasse,J,5,NA
5,11,Bluehead Wrasse,J,5,NA
5,11,Bluehead Wrasse,J,5,NA
5,11,Bluehead Wrasse,J,5,NA
5,11,Bluehead Wrasse,J,5,NA
5,11,Bluehead Wrasse,J,5,NA
5,11,Bluehead Wrasse,J,5,NA
5,11,Bluehead Wrasse,I,9,NA
5,11,Clown Wrasse,I,4,NA
5,11,Clown Wrasse,I,5,NA
5,11,Clown Wrasse,I,7,NA
5,12,Dusky Damselfish,A,14,NA
5,13,Bicolor Damselfish,A,6,NA
5,13,Bicolor Damselfish,A,7,NA
5,13,Blenny Family,A,2,NA
5,13,Blenny Family,A,2,NA
5,13,Blenny Family,A,2,NA
5,13,Bluehead Wrasse,A,4,NA
5,13,Bluehead Wrasse,A,4,NA
5,13,Bluehead Wrasse,I,5,NA
5,13,Bluehead Wrasse,A,5,NA
5,13,Bluehead Wrasse,A,5,NA
5,13,Bluehead Wrasse,I,6,NA
5,13,Bluehead Wrasse,I,6,NA
5,13,Bluehead Wrasse,I,7,NA
5,13,Bluehead Wrasse,I,7,NA
5,13,Bluehead Wrasse,I,8,NA
5,13,Bluehead Wrasse,I,8,NA
5,13,Bluehead Wrasse,I,9,NA
5,13,Bluehead Wrasse,I,9,NA
5,13,Bluehead Wrasse,I,10,NA
5,13,Colon Goby,A,4,NA
5,13,Colon Goby,A,4,NA
5,13,Colon Goby,A,5,NA
5,13,Colon Goby,A,5,NA
5,13,Redband Parrotfish,J,9,NA
5,13,Striped Parrotfish,I,4,NA
5,13,Striped Parrotfish,I,5,NA
5,13,Striped Parrotfish,I,6,NA
5,13,Striped Parrotfish,I,7,NA
5,13,Striped Parrotfish,I,9,NA
5,13,Striped Parrotfish,I,NA,NA
5,14,Bicolor Damselfish,A,5,NA
5,14,Bicolor Damselfish,A,5,NA
5,14,Bicolor Damselfish,A,5,NA
5,14,Bicolor Damselfish,A,5,NA
5,14,Bicolor Damselfish,A,5,NA
5,14,Bicolor Damselfish,A,6,NA
5,14,Bicolor Damselfish,A,6,NA
5,14,Bicolor Damselfish,A,6,NA
5,14,Bicolor Damselfish,A,6,NA
5,14,Bicolor Damselfish,A,6,NA
5,14,Bluehead Wrasse,J,4,NA
5,14,Bluehead Wrasse,J,4,NA
5,14,Bluehead Wrasse,J,5,NA
5,14,Bluehead Wrasse,J,5,NA
5,14,Bluehead Wrasse,J,5,NA
5,14,Bluehead Wrasse,J,5,NA
5,14,Bluehead Wrasse,J,6,NA
5,14,Redband Parrotfish,I,10,NA
5,15,Bicolor Damselfish,A,5,NA
5,15,Bluehead Wrasse,A,4,NA
5,15,Bluehead Wrasse,J,5,NA
5,15,Bluehead Wrasse,J,5,NA
5,15,Bluehead Wrasse,J,6,NA
5,15,Bluehead Wrasse,J,6,NA
5,15,Bluehead Wrasse,J,6,NA
5,15,Goby sp. unid.,A,4,NA
5,16,Dusky Damselfish,A,13,NA
5,16,Foureye Butterflyfish,A,12,NA
5,16,Foureye Butterflyfish,A,13,NA
6,17,Bicolor Damselfish,A,4,NA
6,17,Bicolor Damselfish,A,4,NA
6,17,Bluehead Wrasse,J,2,NA
6,17,Bluehead Wrasse,J,3,NA
6,17,Clown Wrasse,J,4,NA
6,17,Yellowhead Wrasse,J,2,NA
6,17,Yellowhead Wrasse,J,3,NA
6,18,Blue Chromis,A,9,NA
6,18,Blue Chromis,A,10,NA
6,18,Blue Chromis,A,10,NA
6,18,Blue Chromis,A,10,NA
6,18,Longfin Damselfish,A,13,NA
6,19,Threespot Damselfish,A,12,NA
6,20,Bluehead Wrasse,J,2,NA
6,20,Bluehead Wrasse,J,3,NA
6,20,Bluehead Wrasse,J,4,NA
6,20,Bluehead Wrasse,J,4,NA
6,20,Bluehead Wrasse,J,5,NA
6,20,Bluehead Wrasse,J,5,NA
6,20,Bluehead Wrasse,J,6,NA
6,20,Bluehead Wrasse,J,6,NA
6,20,Bluehead Wrasse,J,8,NA
6,21,Banded Butterflyfish,A,10,NA
6,21,Banded Butterflyfish,A,10,NA
6,22,Bicolor Damselfish,A,6,NA
6,22,Longfin Damselfish,A,14,NA
6,22,Roughead Blenny,A,2,NA
6,22,Striped Parrotfish,J,13,NA
10,4,Bluehead Wrasse,J,4,NA
10,4,Bluehead Wrasse,J,4,NA
10,4,Bluehead Wrasse,J,5,NA
10,4,Bluehead Wrasse,J,5,NA
10,4,Bluehead Wrasse,J,6,NA
10,4,Bluehead Wrasse,J,6,NA
10,4,Bluehead Wrasse,J,6,NA
10,4,Bluehead Wrasse,J,7,NA
10,4,Bluehead Wrasse,J,7,NA
10,4,Bluehead Wrasse,J,7,NA
10,4,Bluehead Wrasse,J,7,NA
10,4,Bluehead Wrasse,J,7.5,NA
10,4,Bluehead Wrasse,J,8,NA
10,4,Bluehead Wrasse,J,8,NA
10,4,Bluehead Wrasse,J,8,NA
10,4,Bluehead Wrasse,J,8,NA
10,4,Bluehead Wrasse,J,9,NA
10,4,Bluehead Wrasse,J,9,NA
10,4,Bluehead Wrasse,J,9,NA
10,4,Bluehead Wrasse,J,10,NA
10,4,Bluehead Wrasse,J,10,NA
10,4,Bluehead Wrasse,J,11,NA
10,4,Bluehead Wrasse,J,11,NA
10,8,Bicolor Damselfish,A,6,NA
10,8,Bicolor Damselfish,A,8,NA
10,8,Bicolor Damselfish,A,9,NA
10,8,Bluehead Wrasse,J,2,NA
10,8,Bluehead Wrasse,J,2,NA
10,8,Bluehead Wrasse,J,3,NA
10,8,Bluehead Wrasse,J,3,NA
10,8,Bluehead Wrasse,J,4,NA
10,8,Bluehead Wrasse,J,4,NA
10,8,Bluehead Wrasse,J,5,NA
10,8,Bluehead Wrasse,J,5,NA
10,8,Bluehead Wrasse,J,5,NA
10,8,Bluehead Wrasse,J,6,NA
10,8,Bluehead Wrasse,J,6,NA
10,8,Bluehead Wrasse,J,6,NA
10,8,Bluehead Wrasse,J,7,NA
10,8,Bluehead Wrasse,J,7,NA
10,8,Bluehead Wrasse,J,8,NA
10,8,Bluehead Wrasse,J,8,NA
10,8,Clown Wrasse,J,3,NA
10,8,Clown Wrasse,J,4,NA
11,9,Bluehead Wrasse,J,3,NA
11,9,Bluehead Wrasse,J,4,NA
11,9,Bluehead Wrasse,J,4,NA
11,9,Bluehead Wrasse,J,4,NA
11,9,Bluehead Wrasse,J,5,NA
11,9,Bluehead Wrasse,J,5,NA
11,9,Bluehead Wrasse,J,5,NA
11,9,Bluehead Wrasse,J,6,NA
11,9,Bluehead Wrasse,J,6,NA
11,9,Bluehead Wrasse,J,6,NA
11,9,Stoplight Parrotfish,J,6,NA
11,10,Bluehead Wrasse,J,2,NA
11,10,Bluehead Wrasse,J,3,NA
11,10,Bluehead Wrasse,J,4,NA
11,10,Bluehead Wrasse,J,4,NA
11,10,Bluehead Wrasse,J,5,NA
11,10,Dusky Damselfish,A,13,NA
11,10,Yellowtail Damselfish,A,15,NA
11,11,Bluehead Wrasse,J,3,NA
11,11,Bluehead Wrasse,J,4,NA
11,11,Bluehead Wrasse,J,4,NA
11,11,Bluehead Wrasse,J,5,NA
11,11,Bluehead Wrasse,J,5,NA
11,11,Bluehead Wrasse,J,5,NA
11,11,Dusky Damselfish,A,8.5,NA
11,12,Bicolor Damselfish,A,6,NA
11,12,Bluehead Wrasse,J,5,NA
11,12,Bluehead Wrasse,J,5,NA
11,12,Bluehead Wrasse,J,5,NA
11,12,Bluehead Wrasse,J,5,NA
11,12,Bluehead Wrasse,J,6,NA
11,12,Bluehead Wrasse,J,6,NA
11,12,Bluehead Wrasse,J,6,NA
11,12,Bluehead Wrasse,J,6,NA
11,12,Bluehead Wrasse,J,7,NA
11,12,Bluehead Wrasse,J,7,NA
11,12,Bluehead Wrasse,J,7,NA
11,12,Bluehead Wrasse,J,7,NA
11,14,Bicolor Damselfish,A,4,NA
11,14,Bicolor Damselfish,A,5,NA
11,14,Bluehead Wrasse,J,2,NA
11,14,Bluehead Wrasse,J,3,NA
11,14,Bluehead Wrasse,J,3,NA
11,14,Bluehead Wrasse,I,4,NA
11,14,Bluehead Wrasse,I,6,NA
11,14,Bluehead Wrasse,I,7,NA
11,14,Stoplight Parrotfish,I,5,NA
11,14,Stoplight Parrotfish,I,6,NA
11,15,Dusky Damselfish,A,12,NA
11,16,Bluehead Wrasse,J,5,NA
11,16,Bluehead Wrasse,J,6,NA
11,16,Stoplight Parrotfish,I,12,NA
11,16,Yellowtail Damselfish,A,13,NA
12,17,Cocoa Damselfish,A,6,NA
12,18,Dusky Damselfish,A,7,NA
12,20,Bicolor Damselfish,A,4,NA
12,20,Yellowhead Wrasse,J,2,NA
12,20,Yellowhead Wrasse,J,2,NA
12,20,Yellowhead Wrasse,J,3,NA
12,20,Yellowhead Wrasse,J,6,NA
12,22,Dusky Damselfish,A,7,NA
12,22,Yellowtail Damselfish,A,14,NA
12,23,Bicolor Damselfish,A,4,NA
12,23,Redband Parrotfish,I,13,NA
12,23,Striped Parrotfish,J,13,NA
12,23,Striped Parrotfish,J,14,NA
12,23,Yellowhead Wrasse,J,2,NA
12,23,Yellowhead Wrasse,J,3,NA
12,24,Yellowhead Wrasse,J,2,NA
12,24,Yellowhead Wrasse,J,4,NA
12,24,Yellowhead Wrasse,J,6,NA
12,24,Yellowhead Wrasse,J,6,NA
12,24,Yellowhead Wrasse,J,8,NA
13,1,Bicolor Damselfish,A,6,NA
13,1,Blue Chromis,A,19,NA
13,1,Bluehead Wrasse,J,1,NA
13,1,Dusky Damselfish,A,12,NA
13,1,French Grunt,A,18,NA
13,2,Bicolor Damselfish,A,4,NA
13,2,Bicolor Damselfish,A,5,NA
13,2,Bluehead Wrasse,A,9,NA
13,2,Roughead Blenny,A,2,NA
13,3,Bicolor Damselfish,J,3,NA
13,3,Bicolor Damselfish,A,4,NA
13,3,Bluehead Wrasse,I,4,NA
13,3,Bluehead Wrasse,I,6,NA
13,3,Bluehead Wrasse,I,7,NA
13,3,Bridled Goby,A,3,NA
13,3,Yellowhead Jawfish,A,9,NA
13,4,Colon Goby,A,4,NA
13,4,Colon Goby,A,7,NA
13,4,Masked Goby,A,2,NA
13,4,Masked Goby,A,2,NA
13,4,Masked Goby,A,4,NA
13,4,Masked Goby,A,5,NA
13,4,Masked Goby,A,6,NA
13,4,Pallid Goby,A,5,NA
13,4,Redband Parrotfish,J,5,NA
13,4,Redband Parrotfish,J,6,NA
13,4,Redband Parrotfish,J,7,NA
13,4,Yellowhead Wrasse,A,14,NA
13,5,Bicolor Damselfish,A,8,NA
13,5,Bicolor Damselfish,A,14,NA
13,5,Bluehead Wrasse,J,4,NA
13,5,Bluehead Wrasse,I,4,NA
13,5,Bluehead Wrasse,I,4,NA
13,5,Bluehead Wrasse,I,5,NA
13,5,Bluehead Wrasse,I,6,NA
13,5,Clown Wrasse,J,7,NA
13,5,Clown Wrasse,I,9,NA
13,5,Clown Wrasse,I,11,NA
13,5,Smooth Trunkfish,A,19,yes
13,6,Bicolor Damselfish,A,4,NA
13,6,Bluehead Wrasse,J,4,NA
13,6,Bluehead Wrasse,J,5,NA
13,6,Bluehead Wrasse,J,6,NA
13,6,Bluehead Wrasse,J,6,NA
13,6,Bluehead Wrasse,J,8,NA
13,6,Bluehead Wrasse,J,9,NA
13,6,Bluehead Wrasse,J,10,NA
13,6,Clown Wrasse,J,2,NA
13,6,Clown Wrasse,J,6,NA
13,6,Redband Parrotfish,J,2,NA
13,6,Redband Parrotfish,J,3,NA
13,6,Redband Parrotfish,J,3,NA
13,6,Redband Parrotfish,J,4,NA
13,6,Redband Parrotfish,J,4,NA
13,6,Redband Parrotfish,J,12,NA
13,6,Stoplight Parrotfish,J,2,NA
13,6,Striped Parrotfish,J,2,NA
13,6,Striped Parrotfish,J,3,NA
13,6,Striped Parrotfish,J,4,NA
13,6,Striped Parrotfish,J,6,NA
13,6,Striped Parrotfish,J,6,NA
13,6,Striped Parrotfish,J,6,NA
13,6,Striped Parrotfish,J,6,NA
13,6,Striped Parrotfish,J,6,NA
13,6,Yellowhead Wrasse,A,15,NA
13,7,Bicolor Damselfish,J,1,NA
13,7,Bicolor Damselfish,A,5,NA
13,7,Bicolor Damselfish,A,6,NA
13,7,Bridled Goby,J,2,NA
13,7,Bridled Goby,A,5,NA
13,7,Masked Goby,A,2,NA
13,7,Masked Goby,A,3,NA
13,7,Slippery Dick,J,4,NA
13,7,Yellowhead Wrasse,A,17,NA
13,8,Bicolor Damselfish,J,3,NA
13,8,Bicolor Damselfish,A,5,NA
13,8,Colon Goby,J,2,NA
15,9,Colon Goby,J,2,NA
15,9,Colon Goby,A,3,NA
15,9,Colon Goby,A,4,NA
15,9,Colon Goby,A,5,NA
15,9,Colon Goby,A,6,NA
15,10,Cocoa Damselfish,A,9,NA
15,11,Bicolor Damselfish,A,7,NA
15,11,Roughead Blenny,A,4,NA
15,12,Redband Parrotfish,J,4,NA
15,13,Bicolor Damselfish,A,7,NA
15,13,Bluehead Wrasse,J,7,NA
15,15,Bicolor Damselfish,A,7.5,NA
15,15,Bicolor Damselfish,A,9,NA
15,15,Bridled Goby,A,5,NA
15,15,Colon Goby,A,3,NA
15,16,Roughead Blenny,A,1.8,NA
15,16,Seaweed Blenny,J,2,NA
17,17,Bicolor Damselfish,J,3,NA
17,17,Bicolor Damselfish,A,5,NA
17,17,Striped Parrotfish,J,1,NA
17,17,Striped Parrotfish,J,2,NA
17,17,Striped Parrotfish,J,2,NA
17,18,Bicolor Damselfish,J,3,NA
17,18,Bicolor Damselfish,A,5,NA
17,18,Masked Goby,A,2,NA
17,18,Pallid Goby,A,4,NA
17,19,Bluehead Wrasse,A,6,NA
17,19,Bluehead Wrasse,A,6,NA
17,19,Bluehead Wrasse,A,7,NA
17,19,Bluehead Wrasse,A,8,NA
17,20,Bicolor Damselfish,A,6,NA
17,20,Bicolor Damselfish,A,6,NA
17,20,Bluehead Wrasse,I,6,NA
17,20,Bluehead Wrasse,I,7,NA
17,20,Bluehead Wrasse,I,8,NA
17,20,Bluehead Wrasse,I,9,NA
17,20,Clown Wrasse,J,5,NA
17,20,Longfin Damselfish,A,11,NA
17,21,Striped Parrotfish,J,2,NA
17,22,Bicolor Damselfish,A,4,NA
17,22,Bicolor Damselfish,A,4,NA
17,22,Bridled Goby,A,3,NA
17,22,Masked Goby,A,2,NA
17,22,Masked Goby,A,3,NA
17,22,Masked Goby,A,4,NA
17,22,Puddingwife,J,6,NA
17,23,Beaugregory,J,2,NA
17,23,Beaugregory,J,3,NA
17,23,Bicolor Damselfish,J,2,NA
17,23,Bicolor Damselfish,A,4,NA
17,23,Bluehead Wrasse,I,7,NA
17,23,Bluehead Wrasse,I,8,NA
17,23,Bridled Goby,A,6,NA
17,23,Clown Wrasse,I,7,NA
17,23,Clown Wrasse,I,7,NA
17,23,Redband Parrotfish,I,5,NA
17,23,Redband Parrotfish,I,5,NA
17,24,Bicolor Damselfish,A,6,NA
17,24,Bicolor Damselfish,A,8,NA
17,24,Longfin Damselfish,A,13,NA
17,24,Yellowtail Damselfish,A,18,NA
19,1,Bluehead Wrasse,J,3,yes
19,1,Bluehead Wrasse,J,3,yes
19,1,Bluehead Wrasse,J,3,yes
19,1,Bluehead Wrasse,J,3,yes
19,1,Bluehead Wrasse,J,4,yes
19,1,Bluehead Wrasse,J,4,yes
19,1,Bluehead Wrasse,J,4,yes
19,1,Bluehead Wrasse,J,4,yes
19,1,Bluehead Wrasse,J,5,yes
19,1,Bluehead Wrasse,J,5,yes
19,1,Bluehead Wrasse,J,5,yes
19,1,Bluehead Wrasse,J,5,yes
19,1,Bluehead Wrasse,J,5.5,yes
19,1,Bluehead Wrasse,J,6,yes
19,1,Bluehead Wrasse,J,6,yes
19,1,Bluehead Wrasse,J,6,yes
19,1,Bluehead Wrasse,J,6,yes
19,1,Bluehead Wrasse,J,7,yes
19,1,Bluehead Wrasse,J,7,yes
19,1,Bluehead Wrasse,J,7,yes
19,1,Bluehead Wrasse,J,7,yes
19,1,Bluehead Wrasse,J,8,yes
19,1,Bluehead Wrasse,J,8,yes
19,1,Bluehead Wrasse,J,8,yes
19,1,Bluehead Wrasse,J,8,yes
19,1,Clown Wrasse,J,7,NA
19,1,Redband Parrotfish,J,3,NA
19,1,Redband Parrotfish,J,4,NA
19,1,Redband Parrotfish,J,6,NA
19,2,Colon Goby,A,3,NA
19,3,Dusky Damselfish,A,13,NA
19,4,Bluehead Wrasse,J,4,NA
19,4,Bluehead Wrasse,J,4,NA
19,4,Bluehead Wrasse,J,5,NA
19,4,Bluehead Wrasse,J,5,NA
19,4,Bluehead Wrasse,J,6,NA
19,4,Bluehead Wrasse,J,6,NA
19,4,Bluehead Wrasse,J,6,NA
19,4,Bluehead Wrasse,J,6,NA
19,4,Bluehead Wrasse,J,7,NA
19,4,Bluehead Wrasse,J,7,NA
19,4,Bluehead Wrasse,J,8,NA
19,4,Bluehead Wrasse,J,8,NA
19,4,Dusky Damselfish,A,14,NA
19,5,Bicolor Damselfish,A,5,NA
19,5,Bicolor Damselfish,A,6,NA
19,5,Bluehead Wrasse,J,16,NA
19,5,Clown Wrasse,I,3,NA
19,5,Clown Wrasse,I,8,NA
19,5,Clown Wrasse,A,13,NA
19,5,Dusky Damselfish,A,11,NA
19,5,Puddingwife,J,5,NA
19,5,Redband Parrotfish,J,3,NA
19,5,Slippery Dick,J,4,NA
19,6,Bluehead Wrasse,I,12,NA
19,6,Bluehead Wrasse,I,12,NA
19,6,Bluehead Wrasse,I,12,NA
19,6,Bluehead Wrasse,I,12,NA
19,6,Bluehead Wrasse,I,12,NA
19,6,Bluehead Wrasse,I,12,NA
19,6,Bluehead Wrasse,I,12,NA
19,6,Bluehead Wrasse,I,12,NA
19,6,Bluehead Wrasse,I,12,NA
19,6,Bluehead Wrasse,I,12,NA
19,6,Bluehead Wrasse,I,12,NA
19,6,Bluehead Wrasse,I,12,NA
19,6,Bluehead Wrasse,I,12,NA
19,6,Clown Wrasse,I,4,NA
19,6,Clown Wrasse,I,4,NA
19,6,Clown Wrasse,I,5,NA
19,6,Clown Wrasse,I,5,NA
19,6,Clown Wrasse,I,6,NA
19,6,Clown Wrasse,I,6,NA
19,6,Clown Wrasse,A,13,NA
19,6,Longfin Damselfish,A,12,NA
19,6,Redband Parrotfish,I,8,NA
19,6,Stoplight Parrotfish,J,4,NA
19,6,Stoplight Parrotfish,J,7,NA
19,7,Bicolor Damselfish,J,3,NA
19,7,Clown Wrasse,I,11,NA
19,8,Dusky Damselfish,A,14,NA
21,9,Dusky Damselfish,A,11,NA
21,9,Yellowtail Damselfish,A,15,NA
21,12,Bluehead Wrasse,A,4,NA
21,12,Bluehead Wrasse,A,8,NA
21,14,Dusky Damselfish,A,19,NA
21,14,Yellowtail Damselfish,A,17,NA
21,16,Bicolor Damselfish,A,7,NA
23,17,Bluehead Wrasse,I,7,NA
23,17,Bluehead Wrasse,I,7,NA
23,17,Bluehead Wrasse,I,8,NA
23,17,Bluehead Wrasse,A,9,NA
23,17,Cocoa Damselfish,A,13,NA
23,17,Yellowtail Damselfish,A,18,NA
23,18,Bluehead Wrasse,I,2,NA
23,18,Bluehead Wrasse,I,2,NA
23,18,Bluehead Wrasse,I,7,NA
23,18,Bluehead Wrasse,I,7,NA
23,18,Bluehead Wrasse,I,7,NA
23,18,Bluehead Wrasse,I,8,NA
23,18,Bluehead Wrasse,I,8,NA
23,18,Bluehead Wrasse,I,8,NA
23,18,Bluehead Wrasse,I,9,NA
23,18,Bluehead Wrasse,I,9,NA
23,18,Bluehead Wrasse,I,9,NA
23,18,Bluehead Wrasse,I,10,NA
23,18,Bluehead Wrasse,I,10,NA
23,18,Bluehead Wrasse,I,10,NA
23,18,Bluehead Wrasse,I,10,NA
23,18,Bluehead Wrasse,I,11,NA
23,18,Bluehead Wrasse,I,11,NA
23,18,Bluehead Wrasse,I,11,NA
23,18,Clown Wrasse,A,19,NA
23,18,Dusky Damselfish,A,9,NA
23,18,Longfin Damselfish,A,14,NA
23,19,Bluehead Wrasse,J,7,NA
23,19,Bluehead Wrasse,I,8,NA
23,19,Bluehead Wrasse,I,9,NA
23,19,Bluehead Wrasse,I,10,NA
23,19,Bluehead Wrasse,I,10,NA
23,19,Bluehead Wrasse,I,11,NA
23,20,Bridled Goby,A,5,NA
23,20,Cocoa Damselfish,A,14,NA
23,20,Pallid Goby,A,5,NA
23,20,Saddled Blenny,A,4,NA
23,20,Threespot Damselfish,J,9,NA
23,21,Bluehead Wrasse,I,8,NA
23,21,Bluehead Wrasse,I,8,NA
23,21,Bluehead Wrasse,I,8,NA
23,21,Bluehead Wrasse,I,11,NA
23,21,Clown Wrasse,I,7,NA
23,22,Clown Wrasse,I,8,NA
23,22,Clown Wrasse,I,12,NA
23,22,Dusky Damselfish,I,11,NA
23,23,Bicolor Damselfish,J,2,NA
23,23,Bicolor Damselfish,J,3,NA
23,23,Bicolor Damselfish,A,4,NA
23,23,Bicolor Damselfish,A,6,NA
23,23,Bluehead Wrasse,I,7,NA
23,23,Clown Wrasse,I,3,NA
23,23,Clown Wrasse,I,5,NA
23,23,Clown Wrasse,I,8,NA
23,23,Clown Wrasse,I,9,NA
23,23,Dusky Damselfish,A,12,NA
23,23,Slippery Dick,J,8,NA
23,24,Bicolor Damselfish,J,2,NA
23,24,Bicolor Damselfish,A,4,NA
23,24,Bluehead Wrasse,I,7,NA
23,24,Bluehead Wrasse,I,9,NA
25,1,Blenny Family,A,1.8,NA
25,1,Bluestriped Grunt,A,19,NA
25,1,Roughead Blenny,A,2,NA
25,1,Sharpnose Puffer,J,4,NA
25,1,Threespot Damselfish,A,13,NA
25,2,Bicolor Damselfish,A,4.5,NA
25,2,Cocoa Damselfish,A,11.5,NA
25,2,Colon Goby,J,1.8,NA
25,2,Colon Goby,J,1.8,NA
25,2,Yellowtail Snapper,A,17,yes
25,3,Blue Tang,A,17,yes
25,3,Bluehead Wrasse,J,5,NA
25,3,Bluehead Wrasse,J,5,NA
25,3,Bluehead Wrasse,J,5,NA
25,3,Bluehead Wrasse,J,6,NA
25,3,Bluehead Wrasse,J,6,NA
25,3,Bluehead Wrasse,J,6,NA
25,3,Bluehead Wrasse,J,6,NA
25,3,Ocean Surgeonfish,A,16,NA
25,3,Smooth Trunkfish,A,14,NA
25,3,Stoplight Parrotfish,I,20,NA
25,3,White Grunt,A,17,NA
25,3,Yellowhead Wrasse,I,12,NA
25,3,Yellowtail Snapper,A,17,NA
25,4,Bluehead Wrasse,J,4,NA
25,4,Bluehead Wrasse,J,4,NA
25,4,Bluehead Wrasse,J,4,NA
25,4,Clown Wrasse,J,5,NA
25,4,Clown Wrasse,A,12,NA
25,4,Colon Goby,J,2,NA
25,4,Redband Parrotfish,I,6,NA
25,4,Striped Parrotfish,I,5,NA
25,4,Striped Parrotfish,I,7,NA
25,4,Striped Parrotfish,I,8,NA
25,4,Striped Parrotfish,I,9,NA
25,4,Striped Parrotfish,I,11,NA
25,5,Redband Parrotfish,J,3,NA
25,5,Redband Parrotfish,J,4,NA
25,6,Blenny Family,A,1.5,NA
25,6,Bluehead Wrasse,J,4,NA
25,6,Bluehead Wrasse,J,7,NA
25,6,Bluehead Wrasse,I,13,NA
25,6,Bluehead Wrasse,I,14,NA
25,6,Graysby,A,17,NA
25,7,Blenny Family,A,NA,NA
25,7,Redband Parrotfish,A,NA,NA
25,7,Stoplight Parrotfish,I,10,NA
