,plot,transect_ID,treatment,genotype,plot_grid,complexity,replicate_N_or_S,survey_number,month,day,year,date,visit,time_block,surveyor,cloud_cover(%),current,wind_speed,wind_direction,start_time,end_time,survey_elapsed_time,survey_type,SpeciesCode,common_name,SpeciesName,Genus,Family,Order,MaxLength,TrophicLevel,a,b,MajorTrophicGroup,SubTrophicGroup,FishingStatus,log a,L inf,grid_number,life_phase,TL,transit,plot_grid_survey,plot_grid_visit
20,LS,a,50L50A,U63,LS - 3,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,441-02-02,Smooth Trunkfish,Lactophrys triqueter,Lactophrys,Ostraciidae,Tetraodontiformes,47,3.1,0.0309,3,Invertivore,Mobile Invert Feeder,Minor commercial,-3.477,47,3,A,14,NA,LS - 3 - 25,LS - 3 - 1
21,LS,a,50L50A,U63,LS - 3,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,360-05-11,Stoplight Parrotfish,Sparisoma viride,Sparisoma,Scaridae,Perciformes,64,2,0.037,2.905,Herbivore,Roving Herbivore,Minor commercial,NA,64,3,I,20,NA,LS - 3 - 25,LS - 3 - 1
22,LS,a,50L50A,U63,LS - 3,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,320-01-04,White Grunt,Haemulon plumierii,Haemulon,Haemulidae,Perciformes,53,3.5,0.0121,3.1612,Invertivore,Mobile Invert Feeder,Minor commercial,-5.0781,53,3,A,17,NA,LS - 3 - 25,LS - 3 - 1
23,LS,a,50L50A,U63,LS - 3,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,358-04-17,Yellowhead Wrasse,Halichoeres garnoti,Halichoeres,Labridae,Perciformes,19,3.5,0.0052,3.3747,Invertivore,Mobile Invert Feeder,Aquarium,-5.6591,19,3,I,12,NA,LS - 3 - 25,LS - 3 - 1
24,LS,a,50L50A,U63,LS - 3,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,316-02-01,Yellowtail Snapper,Ocyurus chrysurus,Ocyurus,Lutjanidae,Perciformes,86,3.9,0.0405,2.718,Planktivore,Planktivore-oceanic schooler,Moderate commercial,-4.1108,86,3,A,17,NA,LS - 3 - 25,LS - 3 - 1
25,LS,a,control,NA,LS - 4,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,358-05-11,Bluehead Wrasse,Thalassoma bifasciatum,Thalassoma,Labridae,Perciformes,25,3.3,0.0107,2.9162,Planktivore,Planktivore-oceanic schooler,Aquarium,-4.8865,25,4,J,4,NA,LS - 4 - 25,LS - 4 - 1
26,LS,a,control,NA,LS - 4,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,358-05-11,Bluehead Wrasse,Thalassoma bifasciatum,Thalassoma,Labridae,Perciformes,25,3.3,0.0107,2.9162,Planktivore,Planktivore-oceanic schooler,Aquarium,-4.8865,25,4,J,4,NA,LS - 4 - 25,LS - 4 - 1
27,LS,a,control,NA,LS - 4,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,358-05-11,Bluehead Wrasse,Thalassoma bifasciatum,Thalassoma,Labridae,Perciformes,25,3.3,0.0107,2.9162,Planktivore,Planktivore-oceanic schooler,Aquarium,-4.8865,25,4,J,4,NA,LS - 4 - 25,LS - 4 - 1
28,LS,a,control,NA,LS - 4,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,358-04-16,Clown Wrasse,Halichoeres maculipinna,Halichoeres,Labridae,Perciformes,18,3.3,0.0028,3.6932,Invertivore,Mobile Invert Feeder,Aquarium,-6.2524,18,4,J,5,NA,LS - 4 - 25,LS - 4 - 1
29,LS,a,control,NA,LS - 4,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,358-04-16,Clown Wrasse,Halichoeres maculipinna,Halichoeres,Labridae,Perciformes,18,3.3,0.0028,3.6932,Invertivore,Mobile Invert Feeder,Aquarium,-6.2524,18,4,A,12,NA,LS - 4 - 25,LS - 4 - 1
30,LS,a,control,NA,LS - 4,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,403-01-01,Colon Goby,Coryphopterus dicrus,Coryphopterus,Gobiidae,Perciformes,5,2.5,0.0213,2.2835,Omnivore,Omnivore,Aquarium,NA,5,4,J,2,NA,LS - 4 - 25,LS - 4 - 1
31,LS,a,control,NA,LS - 4,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,360-05-12,Redband Parrotfish,Sparisoma aurofrenatum,Sparisoma,Scaridae,Perciformes,28,2,0.0047,3.4291,Herbivore,Roving Herbivore,Minor commercial,-5.7587,28,4,I,6,NA,LS - 4 - 25,LS - 4 - 1
32,LS,a,control,NA,LS - 4,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,360-09-16,Striped Parrotfish,Scarus iserti,Scarus,Scaridae,Perciformes,35,2,0.0166,3.0548,Herbivore,Roving Herbivore,Minor commercial,-4.8887,35,4,I,5,NA,LS - 4 - 25,LS - 4 - 1
33,LS,a,control,NA,LS - 4,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,360-09-16,Striped Parrotfish,Scarus iserti,Scarus,Scaridae,Perciformes,35,2,0.0166,3.0548,Herbivore,Roving Herbivore,Minor commercial,-4.8887,35,4,I,7,NA,LS - 4 - 25,LS - 4 - 1
34,LS,a,control,NA,LS - 4,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,360-09-16,Striped Parrotfish,Scarus iserti,Scarus,Scaridae,Perciformes,35,2,0.0166,3.0548,Herbivore,Roving Herbivore,Minor commercial,-4.8887,35,4,I,8,NA,LS - 4 - 25,LS - 4 - 1
35,LS,a,control,NA,LS - 4,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,360-09-16,Striped Parrotfish,Scarus iserti,Scarus,Scaridae,Perciformes,35,2,0.0166,3.0548,Herbivore,Roving Herbivore,Minor commercial,-4.8887,35,4,I,9,NA,LS - 4 - 25,LS - 4 - 1
36,LS,a,control,NA,LS - 4,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,360-09-16,Striped Parrotfish,Scarus iserti,Scarus,Scaridae,Perciformes,35,2,0.0166,3.0548,Herbivore,Roving Herbivore,Minor commercial,-4.8887,35,4,I,11,NA,LS - 4 - 25,LS - 4 - 1
37,LS,a,30L70A,M1,LS - 5,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,360-05-12,Redband Parrotfish,Sparisoma aurofrenatum,Sparisoma,Scaridae,Perciformes,28,2,0.0047,3.4291,Herbivore,Roving Herbivore,Minor commercial,-5.7587,28,5,J,3,NA,LS - 5 - 25,LS - 5 - 1
38,LS,a,30L70A,M1,LS - 5,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,360-05-12,Redband Parrotfish,Sparisoma aurofrenatum,Sparisoma,Scaridae,Perciformes,28,2,0.0047,3.4291,Herbivore,Roving Herbivore,Minor commercial,-5.7587,28,5,J,4,NA,LS - 5 - 25,LS - 5 - 1
39,LS,a,100L,M5,LS - 6,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,395-00-00,Blenny Family,Blenniidae,Blenniidae,Blenniidae,Perciformes,12,NA,NA,NA,Herbivore,Small Territorial Herbivore,Aquarium,NA,12,6,A,1.5,NA,LS - 6 - 25,LS - 6 - 1
40,LS,a,100L,M5,LS - 6,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,358-05-11,Bluehead Wrasse,Thalassoma bifasciatum,Thalassoma,Labridae,Perciformes,25,3.3,0.0107,2.9162,Planktivore,Planktivore-oceanic schooler,Aquarium,-4.8865,25,6,J,4,NA,LS - 6 - 25,LS - 6 - 1
41,LS,a,100L,M5,LS - 6,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,358-05-11,Bluehead Wrasse,Thalassoma bifasciatum,Thalassoma,Labridae,Perciformes,25,3.3,0.0107,2.9162,Planktivore,Planktivore-oceanic schooler,Aquarium,-4.8865,25,6,J,7,NA,LS - 6 - 25,LS - 6 - 1
42,LS,a,100L,M5,LS - 6,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,358-05-11,Bluehead Wrasse,Thalassoma bifasciatum,Thalassoma,Labridae,Perciformes,25,3.3,0.0107,2.9162,Planktivore,Planktivore-oceanic schooler,Aquarium,-4.8865,25,6,I,13,NA,LS - 6 - 25,LS - 6 - 1
43,LS,a,100L,M5,LS - 6,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,358-05-11,Bluehead Wrasse,Thalassoma bifasciatum,Thalassoma,Labridae,Perciformes,25,3.3,0.0107,2.9162,Planktivore,Planktivore-oceanic schooler,Aquarium,-4.8865,25,6,I,14,NA,LS - 6 - 25,LS - 6 - 1
44,LS,a,100L,M5,LS - 6,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,284-01-18,Graysby,Cephalopholis cruentata,Cephalopholis,Serranidae,Perciformes,43,4.2,0.0121,3.082,Carnivore,Carnivore - mainly fish,Moderate commercial,NA,43,6,A,17,NA,LS - 6 - 25,LS - 6 - 1
45,LS,a,control,NA,LS - 7,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,395-00-00,Blenny Family,Blenniidae,Blenniidae,Blenniidae,Perciformes,12,NA,NA,NA,Herbivore,Small Territorial Herbivore,Aquarium,NA,12,7,A,NA,NA,LS - 7 - 25,LS - 7 - 1
46,LS,a,control,NA,LS - 7,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,360-05-12,Redband Parrotfish,Sparisoma aurofrenatum,Sparisoma,Scaridae,Perciformes,28,2,0.0047,3.4291,Herbivore,Roving Herbivore,Minor commercial,-5.7587,28,7,A,NA,NA,LS - 7 - 25,LS - 7 - 1
47,LS,a,control,NA,LS - 7,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,360-05-11,Stoplight Parrotfish,Sparisoma viride,Sparisoma,Scaridae,Perciformes,64,2,0.037,2.905,Herbivore,Roving Herbivore,Minor commercial,NA,64,7,I,10,NA,LS - 7 - 25,LS - 7 - 1
48,LS,a,control,NA,LS - 7,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,360-05-11,Stoplight Parrotfish,Sparisoma viride,Sparisoma,Scaridae,Perciformes,64,2,0.037,2.905,Herbivore,Roving Herbivore,Minor commercial,NA,64,7,I,11,NA,LS - 7 - 25,LS - 7 - 1
49,LS,a,control,NA,LS - 7,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,360-05-11,Stoplight Parrotfish,Sparisoma viride,Sparisoma,Scaridae,Perciformes,64,2,0.037,2.905,Herbivore,Roving Herbivore,Minor commercial,NA,64,7,I,14,NA,LS - 7 - 25,LS - 7 - 1
50,LS,a,control,NA,LS - 7,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,360-05-11,Stoplight Parrotfish,Sparisoma viride,Sparisoma,Scaridae,Perciformes,64,2,0.037,2.905,Herbivore,Roving Herbivore,Minor commercial,NA,64,7,I,26,NA,LS - 7 - 25,LS - 7 - 1
51,LS,a,control,NA,LS - 7,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,360-09-16,Striped Parrotfish,Scarus iserti,Scarus,Scaridae,Perciformes,35,2,0.0166,3.0548,Herbivore,Roving Herbivore,Minor commercial,-4.8887,35,7,A,24,NA,LS - 7 - 25,LS - 7 - 1
52,LS,a,control,NA,LS - 7,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,358-04-17,Yellowhead Wrasse,Halichoeres garnoti,Halichoeres,Labridae,Perciformes,19,3.5,0.0052,3.3747,Invertivore,Mobile Invert Feeder,Aquarium,-5.6591,19,7,A,14,NA,LS - 7 - 25,LS - 7 - 1
53,LS,a,100A,NA,LS - 8,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,395-00-00,Blenny Family,Blenniidae,Blenniidae,Blenniidae,Perciformes,12,NA,NA,NA,Herbivore,Small Territorial Herbivore,Aquarium,NA,12,8,A,2,NA,LS - 8 - 25,LS - 8 - 1
54,LS,a,100A,NA,LS - 8,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,358-05-11,Bluehead Wrasse,Thalassoma bifasciatum,Thalassoma,Labridae,Perciformes,25,3.3,0.0107,2.9162,Planktivore,Planktivore-oceanic schooler,Aquarium,-4.8865,25,8,J,5,NA,LS - 8 - 25,LS - 8 - 1
55,LS,a,100A,NA,LS - 8,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,358-05-11,Bluehead Wrasse,Thalassoma bifasciatum,Thalassoma,Labridae,Perciformes,25,3.3,0.0107,2.9162,Planktivore,Planktivore-oceanic schooler,Aquarium,-4.8865,25,8,J,7,NA,LS - 8 - 25,LS - 8 - 1
56,LS,a,100A,NA,LS - 8,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,358-04-17,Yellowhead Wrasse,Halichoeres garnoti,Halichoeres,Labridae,Perciformes,19,3.5,0.0052,3.3747,Invertivore,Mobile Invert Feeder,Aquarium,-5.6591,19,8,I,8,NA,LS - 8 - 25,LS - 8 - 1
57,LS,b,70L30A,K1,LS - 10,Low,S,26,June,4,2019,04-Jun-19,1,start,Noelle,NA,NA,NA,NA,10:40:00,11:00:00,0:20:00,recruit,346-02-16,Bicolor Damselfish,Stegastes partitus,Stegastes,Pomacentridae,Perciformes,10,NA,0.0182,3.1519,Herbivore,Small Territorial Herbivore,Aquarium,-4.8921,10,10,A,7,NA,LS - 10 - 26,LS - 10 - 1
58,LS,b,70L30A,K1,LS - 10,Low,S,26,June,4,2019,04-Jun-19,1,start,Noelle,NA,NA,NA,NA,10:40:00,11:00:00,0:20:00,recruit,358-05-11,Bluehead Wrasse,Thalassoma bifasciatum,Thalassoma,Labridae,Perciformes,25,3.3,0.0107,2.9162,Planktivore,Planktivore-oceanic schooler,Aquarium,-4.8865,25,10,I,12,NA,LS - 10 - 26,LS - 10 - 1
59,LS,b,30L70A,U63,LS - 11,Low,S,26,June,4,2019,04-Jun-19,1,start,Noelle,NA,NA,NA,NA,10:40:00,11:00:00,0:20:00,recruit,358-05-11,Bluehead Wrasse,Thalassoma bifasciatum,Thalassoma,Labridae,Perciformes,25,3.3,0.0107,2.9162,Planktivore,Planktivore-oceanic schooler,Aquarium,-4.8865,25,11,I,4,NA,LS - 11 - 26,LS - 11 - 1
60,LS,b,30L70A,U63,LS - 11,Low,S,26,June,4,2019,04-Jun-19,1,start,Noelle,NA,NA,NA,NA,10:40:00,11:00:00,0:20:00,recruit,358-05-11,Bluehead Wrasse,Thalassoma bifasciatum,Thalassoma,Labridae,Perciformes,25,3.3,0.0107,2.9162,Planktivore,Planktivore-oceanic schooler,Aquarium,-4.8865,25,11,I,5,NA,LS - 11 - 26,LS - 11 - 1
61,LS,b,30L70A,U63,LS - 11,Low,S,26,June,4,2019,04-Jun-19,1,start,Noelle,NA,NA,NA,NA,10:40:00,11:00:00,0:20:00,recruit,320-01-01,French Grunt,Haemulon flavolineatum,Haemulon,Haemulidae,Perciformes,30,3.3,0.0211,3,Invertivore,Mobile Invert Feeder,Moderate commercial,NA,30,11,A,22,NA,LS - 11 - 26,LS - 11 - 1
62,LS,b,30L70A,U63,LS - 11,Low,S,26,June,4,2019,04-Jun-19,1,start,Noelle,NA,NA,NA,NA,10:40:00,11:00:00,0:20:00,recruit,409-01-01,Ocean Surgeonfish,Acanthurus bahianus,Acanthurus,Acanthuridae,Perciformes,38,2,0.0236,2.9752,Herbivore,Roving Herbivore,Minor commercial,-4.6005,38,11,A,17,NA,LS - 11 - 26,LS - 11 - 1
63,LS,b,30L70A,U63,LS - 11,Low,S,26,June,4,2019,04-Jun-19,1,start,Noelle,NA,NA,NA,NA,10:40:00,11:00:00,0:20:00,recruit,360-05-12,Redband Parrotfish,Sparisoma aurofrenatum,Sparisoma,Scaridae,Perciformes,28,2,0.0047,3.4291,Herbivore,Roving Herbivore,Minor commercial,-5.7587,28,11,I,18,NA,LS - 11 - 26,LS - 11 - 1
64,LS,b,30L70A,U63,LS - 11,Low,S,26,June,4,2019,04-Jun-19,1,start,Noelle,NA,NA,NA,NA,10:40:00,11:00:00,0:20:00,recruit,360-05-12,Redband Parrotfish,Sparisoma aurofrenatum,Sparisoma,Scaridae,Perciformes,28,2,0.0047,3.4291,Herbivore,Roving Herbivore,Minor commercial,-5.7587,28,11,I,21,NA,LS - 11 - 26,LS - 11 - 1
65,LS,b,30L70A,U63,LS - 11,Low,S,26,June,4,2019,04-Jun-19,1,start,Noelle,NA,NA,NA,NA,10:40:00,11:00:00,0:20:00,recruit,360-05-11,Stoplight Parrotfish,Sparisoma viride,Sparisoma,Scaridae,Perciformes,64,2,0.037,2.905,Herbivore,Roving Herbivore,Minor commercial,NA,64,11,I,24,NA,LS - 11 - 26,LS - 11 - 1
66,LS,b,30L70A,U63,LS - 11,Low,S,26,June,4,2019,04-Jun-19,1,start,Noelle,NA,NA,NA,NA,10:40:00,11:00:00,0:20:00,recruit,360-05-11,Stoplight Parrotfish,Sparisoma viride,Sparisoma,Scaridae,Perciformes,64,2,0.037,2.905,Herbivore,Roving Herbivore,Minor commercial,NA,64,11,I,28,NA,LS - 11 - 26,LS - 11 - 1
67,LS,b,30L70A,U63,LS - 11,Low,S,26,June,4,2019,04-Jun-19,1,start,Noelle,NA,NA,NA,NA,10:40:00,11:00:00,0:20:00,recruit,360-05-11,Stoplight Parrotfish,Sparisoma viride,Sparisoma,Scaridae,Perciformes,64,2,0.037,2.905,Herbivore,Roving Herbivore,Minor commercial,NA,64,11,I,30,NA,LS - 11 - 26,LS - 11 - 1
68,LS,b,control,NA,LS - 12,Low,S,26,June,4,2019,04-Jun-19,1,start,Noelle,NA,NA,NA,NA,10:40:00,11:00:00,0:20:00,recruit,346-02-16,Bicolor Damselfish,Stegastes partitus,Stegastes,Pomacentridae,Perciformes,10,NA,0.0182,3.1519,Herbivore,Small Territorial Herbivore,Aquarium,-4.8921,10,12,A,6,NA,LS - 12 - 26,LS - 12 - 1
